frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,ai_strategy,sees_player,ammo,stun,swap_used
1446,1775851978.142,2352,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1447,1775851978.157,2354,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1448,1775851978.174,2356,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1449,1775851978.19,2358,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1450,1775851978.206,2360,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1451,1775851978.223,2362,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1452,1775851978.238,2364,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1453,1775851978.255,2366,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1454,1775851978.271,2368,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1455,1775851978.288,2370,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1456,1775851978.304,2372,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1457,1775851978.32,2374,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1458,1775851978.337,2376,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1459,1775851978.353,2378,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1460,1775851978.369,2380,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1461,1775851978.385,2382,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1462,1775851978.401,2384,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1463,1775851978.417,2386,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1464,1775851978.432,2388,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1465,1775851978.449,2390,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1466,1775851978.466,2392,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1467,1775851978.483,2394,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1468,1775851978.5,2396,656,49,13,2,0.55,IDLE,0,FAR,0,3,0,0
1469,1775851978.517,2398,656,49,13,2,0,IDLE,1,FAR,0,3,0,0
1470,1775851978.533,2400,656,50,13,2,0.55,IDLE,0,FAR,0,3,0,0
1471,1775851978.549,2402,656,50,13,2,0,IDLE,1,FAR,0,3,0,0
